O que significa a responsabilidade solidária dos sócios, com fundamento na CLT, conforme o texto?;A possibilidade de que os sócios de uma sociedade sejam responsabilizados pelas obrigações trabalhistas de seus empregados.;A garantia de que os sócios nunca serão responsabilizados pelas dívidas trabalhistas da empresa.;A obrigação exclusiva da sociedade de arcar com todas as dívidas trabalhistas, sem envolver os sócios.;A responsabilidade limitada dos sócios apenas ao capital social investido, em qualquer situação.;Que apenas os sócios administradores podem ser responsabilizados, e somente em caso de fraude comprovada.;a
Qual condição é necessária para que os sócios sejam responsabilizados pelas dívidas trabalhistas, segundo o texto?;Que haja prova de que a sociedade não possui bens suficientes para pagar as dívidas trabalhistas.;Que a dívida trabalhista ultrapasse o valor do capital social da empresa.;Que o empregado tenha trabalhado por mais de dois anos na empresa.;Que a empresa tenha decretado falência oficialmente.;Que o sócio possua participação majoritária na sociedade.;a
Em que situações a responsabilidade solidária dos sócios pode não ser efetivada, mesmo com insuficiência de bens da sociedade?;Em casos de sócios que não tenham participação ativa na gestão da empresa ou adotado comportamento doloso, ou com infração ao dever de cuidado (culpa).;Quando o sócio comprovar que discordou da contratação do empregado credor.;Se o sócio tiver se retirado da sociedade há mais de seis meses.;Se a dívida for referente a verbas rescisórias e não a salários atrasados.;Quando a empresa for uma Microempresa (ME) ou Empresa de Pequeno Porte (EPP).;a
Qual foi a posição firmada pelo Tribunal Superior do Trabalho (TST) no Recurso de Revista nº 10248-75.2018.5.03.0134, mencionada no texto?;Sem prova de ato culposo ou doloso, não se pode responsabilizar o acionista de uma sociedade anônima.;Que acionistas de sociedades anônimas sempre respondem solidariamente pelas dívidas trabalhistas.;Que a responsabilidade do acionista é sempre limitada ao valor de suas ações.;Que apenas acionistas controladores podem ser responsabilizados por dívidas trabalhistas.;Que a responsabilidade só existe se o acionista também for administrador da empresa.;a
A aplicação da responsabilidade solidária dos sócios é automática em sociedades de responsabilidade limitada?;Não, a aplicação dessa responsabilidade solidária não é automática.;Sim, a responsabilidade é sempre automática nesses tipos societários.;Sim, mas apenas se a dívida trabalhista for superior ao patrimônio da sociedade.;Não, exceto se houver decisão judicial específica determinando a automaticidade.;Depende do número de empregados da sociedade.;a
Qual pode ser o limite para atingir os bens dos sócios em sociedades de responsabilidade limitada (Ltda e S.A.)?;O valor total do capital social ou o valor das quotas que o sócio se obrigou a transferir para a sociedade.;Não há limite, os bens pessoais dos sócios sempre respondem integralmente.;O limite é o dobro do valor da dívida trabalhista.;O limite corresponde ao lucro líquido da empresa no último exercício.;O valor correspondente a 10 salários mínimos por empregado.;a
Segundo a citação de Flávio Tartuce, qual é a regra geral sobre a relação entre a pessoa jurídica e seus membros?;Há uma autonomia da pessoa jurídica em relação aos seus sócios e administradores.;A pessoa jurídica e seus sócios se confundem, respondendo sempre conjuntamente.;Os sócios sempre respondem ilimitadamente pelas obrigações da pessoa jurídica.;A autonomia da pessoa jurídica só existe para fins tributários, não trabalhistas.;Os administradores são sempre considerados representantes diretos dos sócios para fins de responsabilidade.;a
Conforme Flávio Tartuce, como os componentes da pessoa jurídica geralmente respondem por débitos?;Em regra, os seus componentes somente responderão por débitos dentro dos limites do capital social, ficando a salvo o patrimônio individual dependendo do tipo societário adotado.;Sempre respondem com seu patrimônio pessoal, independentemente do tipo societário.;Respondem apenas se forem administradores da sociedade.;Respondem subsidiariamente, apenas após esgotados os bens da empresa, mas sempre de forma ilimitada.;Respondem solidariamente entre si, mas limitados ao faturamento anual da empresa.;a
De acordo com o art. 10-A da CLT, como responde o sócio que se retira da sociedade pelas obrigações trabalhistas do período em que foi sócio?;Responde subsidiariamente pelas obrigações trabalhistas da sociedade, relativas ao período em que figurou como sócio.;Responde solidariamente, em qualquer hipótese, por todas as dívidas da empresa.;Não responde por nenhuma obrigação após a averbação de sua saída.;Responde diretamente, como devedor principal, pelas dívidas do seu período.;Responde apenas pelas multas trabalhistas, não pelos salários ou verbas rescisórias.;a
Qual o prazo e condição para que o sócio retirante responda subsidiariamente, conforme o art. 10-A da CLT?;Somente em ações ajuizadas até dois anos depois de averbada a modificação do contrato.;Não há prazo, a responsabilidade é perpétua enquanto a dívida existir.;O prazo é de cinco anos após a saída, independentemente do ajuizamento da ação.;Apenas em ações ajuizadas antes da sua retirada da sociedade.;Somente se a ação for ajuizada no mesmo ano fiscal da sua saída.;a
Em que situação o sócio retirante responderá solidariamente com os demais, segundo o parágrafo único do art. 10-A da CLT?;Quando ficar comprovada fraude na alteração societária, decorrente da modificação do contrato.;Quando o sócio retirante tiver sido o administrador principal da empresa.;Se o valor da dívida trabalhista for superior ao patrimônio líquido da sociedade.;Se a retirada ocorrer durante um processo de recuperação judicial.;Quando a sociedade tiver menos de dois anos de existência.;a
Conforme o parágrafo único do art. 448-A da CLT, quando a empresa sucedida responderá solidariamente com a sucessora?;Quando ficar comprovada fraude na transferência da propriedade da empresa.;Em todos os casos de sucessão empresarial, automaticamente.;Apenas se a empresa sucessora não tiver patrimônio suficiente.;Somente se a transferência ocorrer por meio de fusão ou incorporação.;Quando a empresa sucedida possuir dívidas fiscais além das trabalhistas.;a
De acordo com o Art. 1.016 do Código Civil, quando os administradores respondem solidariamente?;Respondem solidariamente perante a sociedade e os terceiros prejudicados, por culpa no desempenho de suas funções.;Apenas perante a sociedade, por atos de gestão temerária.;Apenas perante terceiros, por violação direta da lei trabalhista.;Somente se agirem com dolo específico para prejudicar a empresa.;Nunca respondem solidariamente, apenas subsidiariamente.;a
Segundo o Art. 158 da Lei da Sociedade Anônima, quando o administrador NÃO é pessoalmente responsável pelas obrigações?;Pelas obrigações que contrair em nome da sociedade e em virtude de ato regular de gestão.;Nunca, pois a responsabilidade é sempre exclusiva da sociedade anônima.;Apenas pelas obrigações contraídas com autorização expressa da assembleia geral.;Pelas obrigações trabalhistas, mas responde pelas fiscais e cíveis.;Quando a obrigação for inferior a 1% do capital social da companhia.;a
Qual mecanismo pode alterar o panorama da responsabilidade dos sócios e atingir seu patrimônio particular, conforme mencionado ao final do texto?;O incidente de desconsideração da personalidade jurídica (IDPJ), regulado no art. 855-A, da CLT.;A execução fiscal direta pela Procuradoria da Fazenda Nacional.;A ação regressiva movida por outros sócios.;O bloqueio de bens determinado pelo Ministério Público do Trabalho.;A intervenção judicial na administração da sociedade.;a
Qual a interpretação do Superior Tribunal de Justiça (STJ) sobre o empresário individual e o MEI, citada no texto?;O empresário individual e o MEI são pessoas físicas que exercem atividade empresarial em nome próprio, assumindo os riscos do negócio com seu patrimônio pessoal, sem distinção entre a personalidade da pessoa natural e a da empresa.;São pessoas jurídicas equiparadas às sociedades limitadas para fins de responsabilidade.;Possuem personalidade jurídica distinta da pessoa natural, com patrimônio separado.;Respondem apenas com os bens afetados à atividade empresarial.;São considerados empregadores formais, mas a responsabilidade primária é do Estado.;a
